location,weekly_deaths
Afghanistan,60.0
Africa,2082.0
Albania,12.0
Algeria,44.0
Andorra,0.0
Angola,66.0
Antigua and Barbuda,9.0
Argentina,3541.0
Armenia,69.0
Asia,39713.0
Australia,0.0
Austria,72.0
Azerbaijan,81.0
Bahamas,6.0
Bahrain,74.0
Bangladesh,227.0
Barbados,1.0
Belarus,70.0
Belgium,133.0
Belize,0.0
Benin,0.0
Bhutan,0.0
Bolivia,448.0
Bosnia and Herzegovina,127.0
Botswana,23.0
Brazil,13317.0
Brunei,0.0
Bulgaria,237.0
Burkina Faso,1.0
Burundi,0.0
Cambodia,26.0
Cameroon,87.0
Canada,302.0
Cape Verde,7.0
Central African Republic,2.0
Chad,0.0
Chile,686.0
China,0.0
Colombia,3424.0
Comoros,0.0
Congo,2.0
Costa Rica,218.0
Cote d'Ivoire,0.0
Croatia,195.0
Cuba,73.0
Cyprus,8.0
Czechia,119.0
Democratic Republic of Congo,3.0
Denmark,6.0
Djibouti,2.0
Dominica,0.0
Dominican Republic,24.0
Ecuador,494.0
Egypt,394.0
El Salvador,29.0
Equatorial Guinea,1.0
Eritrea,2.0
Estonia,18.0
Eswatini,0.0
Ethiopia,80.0
Europe,11687.0
European Union,7209.0
Fiji,0.0
Finland,1.0
France,980.0
Gabon,4.0
Gambia,0.0
Georgia,180.0
Germany,1263.0
Ghana,0.0
Greece,357.0
Grenada,0.0
Guatemala,113.0
Guinea,7.0
Guinea-Bissau,1.0
Guyana,18.0
Haiti,9.0
Honduras,186.0
Hong Kong,0.0
Hungary,344.0
Iceland,0.0
India,29330.0
Indonesia,1235.0
International,0.0
Iran,1661.0
Iraq,236.0
Ireland,0.0
Israel,22.0
Italy,1069.0
Jamaica,57.0
Japan,794.0
Jordan,36.0
Kazakhstan,34.0
Kenya,56.0
Kosovo,14.0
Kuwait,41.0
Kyrgyzstan,48.0
Laos,0.0
Latvia,60.0
Lebanon,57.0
Lesotho,6.0
Liberia,0.0
Libya,23.0
Liechtenstein,0.0
Lithuania,82.0
Luxembourg,4.0
Madagascar,37.0
Malawi,0.0
Malaysia,346.0
Maldives,32.0
Mali,3.0
Malta,0.0
Marshall Islands,0.0
Mauritania,1.0
Mauritius,0.0
Mexico,1210.0
Micronesia (country),0.0
Moldova,48.0
Monaco,0.0
Mongolia,39.0
Montenegro,13.0
Morocco,24.0
Mozambique,5.0
Myanmar,4.0
Namibia,47.0
Nepal,1345.0
Netherlands,100.0
New Zealand,0.0
Nicaragua,1.0
Niger,0.0
Nigeria,1.0
North America,6111.0
North Macedonia,100.0
Norway,7.0
Oceania,18.0
Oman,72.0
Pakistan,691.0
Palestine,31.0
Panama,35.0
Papua New Guinea,18.0
Paraguay,764.0
Peru,1833.0
Philippines,760.0
Poland,1264.0
Portugal,10.0
Qatar,14.0
Romania,418.0
Russia,2570.0
Rwanda,5.0
Saint Kitts and Nevis,0.0
Saint Lucia,2.0
Saint Vincent and the Grenadines,0.0
Samoa,0.0
San Marino,0.0
Sao Tome and Principe,2.0
Saudi Arabia,87.0
Senegal,7.0
Serbia,96.0
Seychelles,3.0
Sierra Leone,0.0
Singapore,1.0
Slovakia,68.0
Slovenia,29.0
Solomon Islands,0.0
Somalia,14.0
South Africa,592.0
South America,25075.0
South Korea,31.0
South Sudan,0.0
Spain,281.0
Sri Lanka,248.0
Sudan,122.0
Suriname,21.0
Sweden,91.0
Switzerland,45.0
Syria,36.0
Taiwan,11.0
Tajikistan,0.0
Tanzania,0.0
Thailand,187.0
Timor,3.0
Togo,0.0
Trinidad and Tobago,90.0
Tunisia,387.0
Turkey,1508.0
Uganda,9.0
Ukraine,1334.0
United Arab Emirates,20.0
United Kingdom,42.0
United States,3746.0
Uruguay,412.0
Uzbekistan,12.0
Vanuatu,0.0
Vatican,0.0
Venezuela,117.0
Vietnam,6.0
World,84686.0
Yemen,18.0
Zambia,8.0
Zimbabwe,4.0
